jpc,mass,merr
3,4.510,150
4,4.510,150
5,4.510,150
6,4.510,150
3,4.860,150
4,4.860,150
5,4.860,150
6,4.860,150
2,4.740,150
8,4.740,150
2,5.010,150
8,5.010,150
1,4.630,150
2,4.630,150
1,5.010,150
2,5.010,150
7,4.700,150
2,4.700,150
8,4.700,150
9,4.700,150
7,5.060,150
2,5.060,150
8,5.060,150
9,5.060,150
5,4.920,150
6,4.920,150
5,5.270,150
6,5.270,150


