jpc,mass,merr
3,11.140,150
4,11.140,150
5,11.140,150
6,11.140,150
3,11.330,150
4,11.330,150
5,11.330,150
6,11.330,150
2,11.300,150
8,11.300,150
2,11.500,150
8,11.500,150
1,11.190,150
2,11.190,150
1,11.410,150
2,11.410,150
7,11.240,150
2,11.240,150
8,11.240,150
9,11.240,150
7,11.440,150
2,11.440,150
8,11.440,150
9,11.440,150
5,11.400,150
6,11.400,150
5,11.610,150
6,11.610,150


